rank#,机构,id,offers,城市,svLevelTitle,电话,地址,service,special,wechat
29,Special A-特优生,3863,2,北京市,高级VIP组织,18813004481,北京市朝阳区建国门外大街丙24号京泰大厦1706,世界名校,美本/美高/美研规划申请/多国联申,SAHuangxiaozhu
30,美国常春藤教育Ivy Labs,3694,345,不适用,普通组织,北京|010-85189088，深圳|0755-86288016,"北京|市东城区东长安街1号 东方广场E1座604室； 深圳|南山区科发路19号 华润置地大厦D座1308单元；美国|111 Whitney Avenue, New Haven, CT 06510",美高、美本、美研早规划&申请服务,根植耶鲁校区的教育顾问,Y1402960661
31,澳盛教育,3821,331,上海市,普通组织,021-52928777,上海市南京西路1168号中信泰富广场1403室,留学咨询 美国方向（美本、美研、美高） 非美国方向（英国、加拿大、香港、新加玻等),全面评估 蓝图设计 专家指导 标化辅导 论文构建 助推计划,OvEdush
32,行知青藤,3857,379,广州市,普通组织,,,美本,,
33,美世教育,3830,1,北京市,普通组织,4006836883_,北京市朝阳区东三环北路民生大厦15层,K12国际学校择校备考、留学申请、科研实习,,
34,许轶老师团队-时代焦点,3685,227,北京市,普通组织,,,美本,美本 哈佛 斯坦福 top20 北京第一,
35,爱博教育,3735,129,南京市,普通组织,咨询电话：025-83453889/890,南京市鼓楼区中山北路217号龙吟广场写办公楼809-810室,美本、英国、加拿大,由美籍专家团队2008年在中国创立。专注中美两地高中生申请美国大学的规划、申请及后续指导。,爱博教育ableedu
36,再来人教育,3826,87,北京市,普通组织,4009006017,,本科硕博,美国留学 英国留学 本科 硕博 高中,
37,普加斯留学,10270,483,深圳市,普通组织,18123976691,,美本/英本/多国大学规划申请、顶尖科研学术项目指导、国际竞赛辅导、夏校申请、申请文书/大学面试指导；,专业升学指导团队、一对一升学规划、定制化项目；,plus_consulting
38,唯寻国际教育,3734,47,上海市,普通组织,,,美本,,
39,润格学社,3778,142,上海市,普通组织,02153308930,上海市徐汇区斜土路2354号宏慧创意4号楼101-201室,美本、英本、美研,一对一 个性化 团队服务,iloverunge
40,棕榈大道,3683,87,北京市,普通组织,,,美本,,
41,思睿教育,3724,64,南京市,普通组织,,,美本,,
42,习美留学,3679,238,上海市,普通组织,4008213902_,上海市徐汇区肇嘉浜路1065号飞雕国际大厦18层1807,美本,个性化 精细化 高端留学 ,
43,AcadeMe德明,3730,98,北京市,普通组织,,,美本,,
44,ZOOMiN特写,3787,90,上海市,普通组织,02164046560,上海市黄浦区局门路427号1号楼404室,美国本科,,zoomin02
45,爬藤教育,3865,170,北京市,普通组织,,,美本,,
46,英锐凯斯,3833,79,北京市,普通组织,,,美本,,
47,美东学苑,3829,83,不适用,普通组织,,,美本,,
48,True Talent（TT）,3788,69,北京市,普通组织,,,美本,,
49,融尚南希,3825,262,北京市,普通组织,,北京市朝阳区将台西路2号院文新华策影视交流中心B座盈享空间3A层,美本,"one team(所有合伙人亲自参与),国际教育规划，留学申请，行业领先，顶尖美高，美本",snfadmission
50,波哥教育,3713,73,,普通组织,,,美本,,
51,品优学会,3706,67,上海市,普通组织,18017622720,上海长宁区延安西路1118号龙之梦大厦2601，2611室,美本,,pinyouxuehui1sa
52,领航学漾,3798,53,深圳市,普通组织,,,美本,,
53,青岛哥伦引领,3799,10,青岛市,普通组织,18561861610,青岛,美本,中外藤校导师引领专属规划，品牌口碑多年居高不下，TOP30学生案例真实丰富，美本顾问团队成熟负责,
54,新课堂国际教育,3707,48,北京市,普通组织,,,美本,,
55,Blueprint 蓝图国际,3824,44,上海市,普通组织,,,美本,,
56,路明留学,10197,21,上海市,普通组织,,,,,
57,丽格教育,3783,42,不适用,普通组织,,,美本,,
58,启德教育,3720,9,深圳市,普通组织,,,美本,,
59,CBA教育,3818,58,深圳市,普通组织,,,美本,,
60,佳桥教育,3710,46,北京市,普通组织,,,美本,,
61,张弛工作室,3785,44,南京市,普通组织,,,美本,,
62,苏州博人留学,3900,43,苏州市,普通组织,,,美本,,
63,元马教育,3810,229,上海市,普通组织,,,美本,,
64,博美前程,10726,89,不适用,普通组织,021-56522827,,美本,专业精细 小而美 独家活动 不忘初心 个性化,broadfuture888
65,Sherry留学工作室,3793,52,上海市,普通组织,,,美本,,
66,乐鉴教育,3848,2,北京市,普通组织,,,美本,,
67,哈耶普Bravo留学,3731,41,南京市,普通组织,,,美本,,
68,明德立人,3773,60,北京市,普通组织,,,美本,,
69,Ivypedia,3776,35,上海市,普通组织,,,美本,藤校专家、转学专家、个性规划、Top名校导师,umm-sh
70,北美芝士,3896,43,深圳市,普通组织,,,美本,美本 定制化 美高 Top50 创意,
71,顾瑞教育,3703,14,不适用,普通组织,,,美本,,
72,永烨教育,3898,5,上海市,普通组织,16621172886,中山西路1065号SOHO中山广场B座7层,美高/美本/美研，英高/英本/英研，英语系国家全球联申,超资深专家团队 大量家长口碑推荐 专业细致个性化服务 擅长发掘学生天赋 构思独特的文书 长期陪伴式国际教育规划,16621172886
73,有方留学,3844,46,北京市,普通组织,,,美本,每届不超过20人，低分高录，高分稳录,
74,高迪留学,3893,36,上海市,普通组织,,,美本,个性化规划 最顶尖文书团队,
75,3小时留学,3850,44,北京市,普通组织,,,美本,,
76,保承教育,3740,8,不适用,普通组织,,,美本,,
77,麦琪青藤,10272,23,上海市,普通组织,18201774343,,美国本科、转学、研究生申请咨询,精准 精进 精细  爱心 真心 全心,
78,PGYE,3831,38,,普通组织,,,美本,,
79,H Theory留学咨询,10457,24,上海市,普通组织,,, ,,
80,老查留学,10145,13,北京市,普通组织,,,,,
81,南京藤梦教育,3691,12,南京市,普通组织,,,美本,,
82,美国李秉光教育中心,3712,6,不适用,普通组织,22939581166,美国,美初、美高、美本,,173312510
83,国信留学,10179,11,南京市,普通组织,,,,,
84,远流教育IvyFlow,3885,9,北京市,普通组织,15313766001,,美本,所有导师第一学历为Top20（有据可查） 做真正有人生感悟的活动 写打开招生官内心的文书 2022届25%录取前十,nanpeng2
85,博仕教育,3725,0,不适用,普通组织,15810263979,北京市海淀区海淀北二街8号中关村SOHO 1117,美高，美本，美研,,danny-drtobe
86,培佳教育,3738,17,上海市,普通组织,,,美本,,
87,兰州奥科特教育,3870,51,兰州市,普通组织,,,美本,,
88,Crimson教育	,10141,9,香港,普通组织,,,,,
89,雅恒Abacus,3715,5,广州市,普通组织,,,美本,,
90,Advantage,10755,0,不适用,普通组织,,,College Counseling / 留学顾问,Passion,微信：luckybluedog2
91,合肥立得学,10719,2,合肥市,普通组织,,,,,
92,蓁和学院	,10142,27,上海市,普通组织,,,,,
93,汇藤国际教育,3754,0,北京市,普通组织,,,美本,,
94,常青藤国际教育,3809,,上海市,普通组织,,,美本,,
95,兰德学会,3860,6,上海市,普通组织,,,美本,,
96,学而教育,3700,12,兰州市,普通组织,,,美本,,
97,天际教育,3719,83,,普通组织,,,美本,,
98,Elite Education,10287,21,深圳市,普通组织,+852-34282001；+86(0)755-86158504,（总部）香港中环德辅道中永安中心909-910；深圳市南山区华润置地大厦D座2510,海外顶尖大学、私立中学、香港国际学校申请及定制化课程,导师制 高关注度 定制化,Elite0811
99,三皮匠教育,3872,6,广州市,普通组织,,林和西路9号耀中广场A座1523室,美本,专业、个性化定制、匠心,soycurry
100,星其教育,3877,24,上海市,普通组织,,,美本,,
101,得搏咨询,10494,15,不适用,普通组织,,,,,
102,达维教育,3701,8,,普通组织,,,美本,,
103,耀留学,10246,13,武汉市,普通组织,,,,,
104,IvyNow,3884,2,北京市,普通组织,,,美本,,
105,同窗教育,10182,7,北京市,普通组织,,,,,
106,无锡美澜留学,3868,15,,普通组织,,无锡,美本,个性化服务,wxmichaelh
107,武汉洛克陈教育咨询有限公司,3889,12,武汉市,普通组织,,,美本,,
108,深圳优路书院,10115,0,深圳市,普通组织,13510550656,龙岗区中心城星河上寓,美国本研、英国本研、港澳本研,专业 用心 细致,
109,达罗捷派,10093,17,北京市,普通组织,,,,,
110,广州菲尔教育,3811,3,广州市,普通组织,18666008514,天河区体育东路羊城商贸中心西塔1905室,美本,擅长美国本科 和 研究生的申请,18666008514
111,西蒙留学,3808,11,长沙市,普通组织,,,美本,,
112,启程教育,3878,43,上海市,普通组织,,,美本,,
113,齐而思教育,3864,3,长沙市,普通组织,,,美本,,
114,江博教育,3684,5,北京市,普通组织,,,美本,,
115,渡尔教育,10735,16,深圳市,普通组织,                                                           ,,                                                  ,                                                       ,                                        
116,盖普国际教育,3790,,上海市,普通组织,,,美本,,
117,新境界教育,3690,4,南京市,普通组织,,,美本,,
118,合领教育,10289,33,北京市,普通组织,+86-10-53350508,北京市朝阳区酒仙桥路13号瀚海国际大厦316,英美加高中和大学,合领教育不仅仅关注结果，更关注于学生的成长过程，用心理，教育和升学规划来引领学生走向成功！,helingjiaoyu
119,三一留学,3796,,上海市,普通组织,,,美本,,
120,橡沐教育,10005,0,上海市,普通组织,,,,,
121,Wilson老师-普罗米教育,3757,2,上海市,普通组织,,,美本,,
122,张涵工作室,10282,3,不适用,普通组织,,,美本申请,13年申请经验，专注美本申请，长居北美，藤校毕业生，前托福考试出题人,378485152
123,海纳全规划,10243,,上海市,普通组织,,,,,
124,成蹊工坊,10743,6,不适用,普通组织,15968941641,,留学申请；语言培训,定制化；经验丰富,kikodong77
125,创藤教育,3835,4,上海市,普通组织,,,美本,,
126,境华出国,3858,6,上海市,普通组织,,,美本,,
127,易格留学,3717,5,南京市,普通组织,,,美本,,
128,新绿洲硅谷国际教育,3820,,北京市,普通组织,,,美本,,
129,深圳元美教育,3748,2,深圳市,普通组织,,,美本,,
130,创时教育,3718,7,南京市,普通组织,,,美本,,
131,蓝气球高端留学工作室,10284,3,上海市,普通组织,,,美本高端申请,把每一个普普通通优秀的学生送进美国顶级大学,
132,Interbridge,10114,1,不适用,普通组织,,,,,
133,络华(中国),10008,4,上海市,普通组织,13328058053,闵行区闵虹路166弄中庚环球创意中心1号楼11楼,升学指导/专业规划/企业实训实习/科研指导/UN项目/G20项目/OECD项目/写作竞赛指导,哈佛导师团队,
134,藤莘国际留学,10025,,上海市,普通组织,,,,,
135,广州申博,10278,3,广州市,普通组织,,,,,
136,陈起永工作室,10136,1,不适用,普通组织,,,,,
137,行致远名校留学–沈阳,3836,0,,普通组织,,,美本,,
138,成美留学,10297,5,南昌市,普通组织,,, ,,
139,依莱特教育,3871,,厦门市,普通组织,,,美本,,
140,AO留学工作室,10015,,不适用,普通组织,,,,,
141,橡树学院,10206,0,青岛市,普通组织,,,,,
142,麓明学会,10813,12,不适用,普通组织,,,,,
143,梦想者教育	,10166,,深圳市,普通组织,,,,,
144,柳琛工作室	,10229,,不适用,普通组织,,,,,
145,春藤学堂,3838,2,郑州市,普通组织,,,美本,,
146,源进教育,3729,6,上海市,普通组织,17717372558,闵行区碧秀路72号,海外留学考试和海外本科，研究生，博士申请,1对1，小班，标化高分培训，规划学生100%世界前50录取,1732105360
147,美国静老师教育工作室,10279,1,不适用,普通组织,,,,,
148,青岛普林留学,3867,41,青岛市,普通组织,19963991527,,美本,普林留学，留学高端,
149,IECG青藤国际教育,10036,124,不适用,普通组织,18821633969,1.上海市徐汇区华山路1901号国贸汇A7  2.西安市友谊东路中铁第一国际wework  3.成都锦江区国际金融中心3号楼37层,美本、英本、加本,服务体系成熟，为每个学生量身打造专业留学规划,LF1435766637
150,张禹,3728,2,不适用,普通组织,,,美本,,
151,DIY,3769,0,,普通组织,13333333333,测试地址,美本,,tt
152,耘露留学,10059,,北京市,普通组织,,,,,
153,四川斯码特教育	,10144,,成都市,普通组织,,,,,
154,上新留学,3687,,北京市,普通组织,,,美本,,
155,捷美教育,10058,,上海市,普通组织,,,,,
156,合知行教育,10038,,北京市,普通组织,,,,,
157,不问西东,10140,,不适用,普通组织,,,,,
158,广东实验中学AP国际课程,404,185,广州市,普通组织,,,国际课程学校,,
159,路得以名留学,10451,2,不适用,普通组织,,, ,,
160,橄榄枝工作室,10776,2,上海市,普通组织,,,,,
161,郑老师升学工作室,10042,0,广州市,普通组织,,,,,
162,LeadStar & Glee Studio,10707,1,无锡市,普通组织,,,,,
163,飞渡教育,10076,0,不适用,普通组织,,,,,
164,易度留学,10250,2,不适用,普通组织,,,,,
165,中世留学,10456,0,宁波市,普通组织,,, ,,
166,思达博教育,10733,0,北京市,普通组织,,,,,
167,独课留学 ,10721,1,上海市,普通组织,,,,,
168,中际英才,10147,,上海市,普通组织,,,,,
169,易思伯乐留学,10039,,成都市,普通组织,,,,,
170,瑾益留学,3854,,上海市,普通组织,,,美本,,
171,斐诺教育,3753,,南京市,普通组织,,,美本,,
172,安生美丞留学,3807,,上海市,普通组织,,,美本,,
173,丹丹人文教育,10724,1,不适用,普通组织,,,,,
174,梧桐星球,10740,1,不适用,普通组织,,,,,
175,诚诺教育,3795,5,成都市,普通组织,,,美本,,
176,思录教育,3760,,南京市,普通组织,,,美本,,
177,Ethos壹思国际音乐教育,10757,2,北京市,普通组织,18310703702,朝阳区樱花园西街1号裙楼1-2层,音乐作品集辅导，面试辅导，背景提升，留学规划，背景提升，学校申请，文书指导,音乐 专业教研团队 作品集,
178,沈阳优联,10812,0,沈阳市,普通组织,,,,,
179,顶尖卓越,3732,9,深圳市,普通组织,,福田区民田路178号卓越大厦2407,英美及其他国家大学留学规划与申请、背景提升、文书指导、GPA学习管理,申请机构,
180,美至教育,3882,6,北京市,普通组织,,,美本,,
181,cadd9音乐艺术中心,10194,1,北京市,普通组织,,,,,
182,蜂鸟未来教育,3859,1,北京市,普通组织,,,美本,,
183,成都DD,10889,,成都市,普通组织,,,,,
184,承荫学会,10832,3,不适用,普通组织,,,,,
185,ACC学术联盟,10820,6,不适用,普通组织,,,,,
186,Tata工作室,10878,0,杭州市,普通组织,,,,,
187,星未来,10880,0,上海市,普通组织,,,,,
